code,name
000004,国农科技
000078,海王生物
000153,丰原药业
000403,ST生化
000423,东阿阿胶
000513,丽珠集团
000518,四环生物
000522,白云山A
000538,云南白药
000566,海南海药
000590,启迪古汉
000597,东北制药
000606,神州易桥
000623,吉林敖东
000650,仁和药业
000661,长春高新
000739,普洛药业
000756,新华制药
000766,通化金马
000788,北大医药
000790,泰合健康
000908,景峰医药
000915,山大华特
000919,金陵药业
000952,广济药业
000963,华东医药
000989,九 芝 堂
000999,华润三九
002001,新 和 成
002007,华兰生物
002019,亿帆医药
002020,京新药业
002022,科华生物
002030,达安基因
002038,双鹭药业
002099,海翔药业
002107,沃华医药
002118,紫鑫药业
002166,莱茵生物
002198,嘉应制药
002219,恒康医疗
002252,上海莱士
002262,恩华药业
002275,桂林三金
002287,奇正藏药
600062,华润双鹤
600079,人福医药
600080,金花股份
600085,同仁堂
600129,太极集团
600161,天坛生物
600196,复星医药
600200,江苏吴中
600201,生物股份
600211,西藏药业
600216,浙江医药
600222,太龙药业
600252,中恒集团
600253,天方药业
600267,海正药业
600276,恒瑞医药
600285,羚锐制药
600329,中新药业
600332,白云山
600351,亚宝药业
600380,健康元
600420,现代制药
600422,昆药集团
600436,片仔癀
600466,蓝光发展
600479,千金药业
600488,天药股份
600513,联环药业
600518,康美药业
600521,华海药业
600530,交大昂立
600535,天士力
600557,康缘药业
600566,济川药业
600572,康恩贝
600594,益佰制药
600613,神奇制药
600645,中源协和
600664,哈药股份
600666,奥瑞德
600671,天目药业
600750,江中药业
600771,广誉远
600781,辅仁药业
600789,鲁抗医药
600812,华北制药
600829,人民同泰
600867,通化东宝
600976,健民集团
600993,马应龙
603168,莎普爱思
603222,济民制药
603456,九洲药业
603567,珍宝岛
603998,方盛制药
